row_id,year,month,mdate,sensor_id,sensor_name,pedestrain_counts,rank
266,2009,August,27,1,Bourke Street Mall (North),19506,7.0
267,2009,August,27,15,State Library,19285,8.0
268,2009,August,27,16,Australia on Collins,18096,9.0
269,2009,August,27,17,Collins Place (South),14182,10.0
270,2009,August,28,4,Town Hall (West),42783,1.0
271,2009,August,28,2,Bourke Street Mall (South),35622,2.0
272,2009,August,28,3,Melbourne Central,34009,3.0
273,2009,August,28,6,Flinders Street Station Underpass,29027,4.0
274,2009,August,28,5,Princes Bridge,26983,5.0
275,2009,August,28,1,Bourke Street Mall (North),24915,6.0
276,2009,August,28,13,Flagstaff Station,23759,7.0
277,2009,August,28,16,Australia on Collins,21100,8.0
278,2009,August,28,15,State Library,20803,9.0
279,2009,August,28,17,Collins Place (South),14339,10.0
280,2009,August,29,4,Town Hall (West),34413,1.0
281,2009,August,29,2,Bourke Street Mall (South),27828,2.0
282,2009,August,29,3,Melbourne Central,25800,3.0
283,2009,August,29,5,Princes Bridge,23215,4.0
284,2009,August,29,1,Bourke Street Mall (North),17656,5.0
285,2009,August,29,6,Flinders Street Station Underpass,16366,6.0
286,2009,August,29,15,State Library,13451,7.0
287,2009,August,29,16,Australia on Collins,13298,8.0
288,2009,August,29,14,Sandridge Bridge,6286,9.0
289,2009,August,29,12,New Quay,5182,10.0
290,2009,August,30,4,Town Hall (West),26270,1.0
291,2009,August,30,2,Bourke Street Mall (South),20990,2.0
292,2009,August,30,3,Melbourne Central,20603,3.0
293,2009,August,30,5,Princes Bridge,19386,4.0
294,2009,August,30,6,Flinders Street Station Underpass,15438,5.0
295,2009,August,30,1,Bourke Street Mall (North),13719,6.0
296,2009,August,30,15,State Library,12083,7.0
297,2009,August,30,16,Australia on Collins,9320,8.0
298,2009,August,30,12,New Quay,9276,9.0
299,2009,August,30,11,Waterfront City,7849,10.0
300,2009,August,31,4,Town Hall (West),28976,1.0
301,2009,August,31,13,Flagstaff Station,26092,2.0
302,2009,August,31,2,Bourke Street Mall (South),23958,3.0
303,2009,August,31,6,Flinders Street Station Underpass,23956,4.0
304,2009,August,31,3,Melbourne Central,20130,5.0
305,2009,August,31,5,Princes Bridge,17584,6.0
306,2009,August,31,16,Australia on Collins,16166,7.0
307,2009,August,31,1,Bourke Street Mall (North),15087,8.0
308,2009,August,31,15,State Library,13837,9.0
309,2009,August,31,17,Collins Place (South),12907,10.0
310,2009,December,1,4,Town Hall (West),36950,1.0
311,2009,December,1,6,Flinders Street Station Underpass,28404,2.0
312,2009,December,1,2,Bourke Street Mall (South),28393,3.0
313,2009,December,1,3,Melbourne Central,27029,4.0
314,2009,December,1,13,Flagstaff Station,25649,5.0
315,2009,December,1,1,Bourke Street Mall (North),24580,6.0
316,2009,December,1,5,Princes Bridge,22662,7.0
317,2009,December,1,16,Australia on Collins,19072,8.0
318,2009,December,1,15,State Library,17121,9.0
319,2009,December,1,17,Collins Place (South),15030,10.0
320,2009,December,2,4,Town Hall (West),38983,1.0
321,2009,December,2,2,Bourke Street Mall (South),30954,2.0
322,2009,December,2,6,Flinders Street Station Underpass,29628,3.0
323,2009,December,2,3,Melbourne Central,27712,4.0
324,2009,December,2,1,Bourke Street Mall (North),26970,5.0
325,2009,December,2,13,Flagstaff Station,25832,6.0
326,2009,December,2,5,Princes Bridge,25020,7.0
327,2009,December,2,16,Australia on Collins,20460,8.0
328,2009,December,2,15,State Library,18218,9.0
329,2009,December,2,17,Collins Place (South),15876,10.0
330,2009,December,3,4,Town Hall (West),37640,1.0
331,2009,December,3,2,Bourke Street Mall (South),32025,2.0
332,2009,December,3,6,Flinders Street Station Underpass,27109,3.0
333,2009,December,3,13,Flagstaff Station,26069,4.0
334,2009,December,3,3,Melbourne Central,25845,5.0
335,2009,December,3,1,Bourke Street Mall (North),24526,6.0
336,2009,December,3,5,Princes Bridge,22546,7.0
337,2009,December,3,16,Australia on Collins,19746,8.0
338,2009,December,3,15,State Library,16852,9.0
339,2009,December,3,17,Collins Place (South),15427,10.0
340,2009,December,4,4,Town Hall (West),46314,1.0
341,2009,December,4,2,Bourke Street Mall (South),37730,2.0
342,2009,December,4,6,Flinders Street Station Underpass,32711,3.0
343,2009,December,4,1,Bourke Street Mall (North),31162,4.0
344,2009,December,4,3,Melbourne Central,30853,5.0
345,2009,December,4,5,Princes Bridge,28775,6.0
346,2009,December,4,13,Flagstaff Station,24455,7.0
347,2009,December,4,16,Australia on Collins,23773,8.0
348,2009,December,4,15,State Library,19803,9.0
349,2009,December,4,17,Collins Place (South),15164,10.0
350,2009,December,5,4,Town Hall (West),40274,1.0
351,2009,December,5,2,Bourke Street Mall (South),30418,2.0
352,2009,December,5,1,Bourke Street Mall (North),26730,3.0
353,2009,December,5,3,Melbourne Central,26668,4.0
354,2009,December,5,5,Princes Bridge,24113,5.0
355,2009,December,5,6,Flinders Street Station Underpass,20622,6.0
356,2009,December,5,15,State Library,15531,7.0
357,2009,December,5,16,Australia on Collins,14046,8.0
358,2009,December,5,14,Sandridge Bridge,8067,9.0
359,2009,December,5,12,New Quay,7262,10.0
360,2009,December,6,4,Town Hall (West),35063,1.0
361,2009,December,6,2,Bourke Street Mall (South),26533,2.0
362,2009,December,6,5,Princes Bridge,24142,3.0
363,2009,December,6,1,Bourke Street Mall (North),23138,4.0
364,2009,December,6,3,Melbourne Central,23101,5.0
365,2009,December,6,6,Flinders Street Station Underpass,19596,6.0
366,2009,December,6,15,State Library,13334,7.0
367,2009,December,6,11,Waterfront City,12091,8.0
368,2009,December,6,16,Australia on Collins,11103,9.0
369,2009,December,6,12,New Quay,9240,10.0
370,2009,December,7,4,Town Hall (West),37481,1.0
371,2009,December,7,2,Bourke Street Mall (South),28995,2.0
372,2009,December,7,6,Flinders Street Station Underpass,27025,3.0
373,2009,December,7,13,Flagstaff Station,25207,4.0
374,2009,December,7,1,Bourke Street Mall (North),24248,5.0
375,2009,December,7,3,Melbourne Central,23667,6.0
376,2009,December,7,5,Princes Bridge,22583,7.0
377,2009,December,7,16,Australia on Collins,18580,8.0
378,2009,December,7,15,State Library,14624,9.0
379,2009,December,7,17,Collins Place (South),14326,10.0
380,2009,December,8,4,Town Hall (West),32101,1.0
381,2009,December,8,13,Flagstaff Station,30888,2.0
382,2009,December,8,2,Bourke Street Mall (South),25865,3.0
383,2009,December,8,6,Flinders Street Station Underpass,24520,4.0
384,2009,December,8,3,Melbourne Central,21722,5.0
385,2009,December,8,5,Princes Bridge,20701,6.0
386,2009,December,8,1,Bourke Street Mall (North),19464,7.0
387,2009,December,8,16,Australia on Collins,16471,8.0
388,2009,December,8,18,Collins Place (North),16265,9.0
389,2009,December,8,17,Collins Place (South),14269,10.0
390,2009,December,9,4,Town Hall (West),40241,1.0
391,2009,December,9,2,Bourke Street Mall (South),33029,2.0
392,2009,December,9,6,Flinders Street Station Underpass,29056,3.0
393,2009,December,9,1,Bourke Street Mall (North),28909,4.0
394,2009,December,9,3,Melbourne Central,27068,5.0
395,2009,December,9,13,Flagstaff Station,26577,6.0
396,2009,December,9,5,Princes Bridge,25998,7.0
397,2009,December,9,16,Australia on Collins,21463,8.0
398,2009,December,9,15,State Library,17555,9.0
399,2009,December,9,17,Collins Place (South),15215,10.0
400,2009,December,10,4,Town Hall (West),40132,1.0
401,2009,December,10,2,Bourke Street Mall (South),33712,2.0
402,2009,December,10,6,Flinders Street Station Underpass,27802,3.0
403,2009,December,10,1,Bourke Street Mall (North),26698,4.0
404,2009,December,10,13,Flagstaff Station,25472,5.0
405,2009,December,10,3,Melbourne Central,24918,6.0
406,2009,December,10,5,Princes Bridge,23356,7.0
407,2009,December,10,16,Australia on Collins,20765,8.0
408,2009,December,10,17,Collins Place (South),14940,9.0
409,2009,December,10,15,State Library,14572,10.0
410,2009,December,11,4,Town Hall (West),45149,1.0
411,2009,December,11,2,Bourke Street Mall (South),39296,2.0
412,2009,December,11,6,Flinders Street Station Underpass,32121,3.0
413,2009,December,11,1,Bourke Street Mall (North),32063,4.0
414,2009,December,11,3,Melbourne Central,29854,5.0
415,2009,December,11,5,Princes Bridge,27685,6.0
416,2009,December,11,13,Flagstaff Station,25304,7.0
417,2009,December,11,16,Australia on Collins,23324,8.0
418,2009,December,11,15,State Library,17794,9.0
419,2009,December,11,17,Collins Place (South),14981,10.0
420,2009,December,12,4,Town Hall (West),42589,1.0
421,2009,December,12,2,Bourke Street Mall (South),31909,2.0
422,2009,December,12,5,Princes Bridge,31148,3.0
423,2009,December,12,3,Melbourne Central,29461,4.0
424,2009,December,12,1,Bourke Street Mall (North),28102,5.0
425,2009,December,12,6,Flinders Street Station Underpass,21734,6.0
426,2009,December,12,16,Australia on Collins,16598,7.0
427,2009,December,12,15,State Library,16326,8.0
428,2009,December,12,14,Sandridge Bridge,8425,9.0
